airline_name,flight_code
SpiceJet,517
AirAsia,1451
Indigo,5211
AirAsia,557
Indigo,384
Indigo,455
Indigo,168
Indigo,788
Indigo,5038
Indigo,929
GO FIRST,173
Indigo,318
GO FIRST,812
Air India,620
Indigo,6233
Indigo,6535
GO FIRST,398
Air India,481
Indigo,7623
Air India,9741
Indigo,6278
GO FIRST,7555
AirAsia,559
GO FIRST,2509
Air India,471
Indigo,6111
Indigo,534
Vistara,683
SpiceJet,3831
GO FIRST,501
SpiceJet,8645
Air India,787
Indigo,6749
GO FIRST,7561
SpiceJet,679
Indigo,7177
SpiceJet,455
GO FIRST,575
Air India,435
SpiceJet,8171
Indigo,5394
Indigo,6684
Indigo,154
Indigo,2046
AirAsia,471
Indigo,416
GO FIRST,306
Air India,546
Air India,9843
GO FIRST,506
Indigo,358
Indigo,903
Indigo,149
Indigo,198
Air India,9643
Indigo,6238
GO FIRST,295
Air India,403
AirAsia,791
Indigo,292
Indigo,5347
Indigo,5359
Indigo,6007
Indigo,6004
Indigo,2753
AirAsia,1982
SpiceJet,534
Air India,643
Indigo,5202
Indigo,2752
Indigo,7583
Indigo,398
Indigo,6324
Indigo,232
Indigo,2485
Indigo,5017
Air India,695
Indigo,7211
SpiceJet,8941
Indigo,945
Indigo,2478
Indigo,5207
SpiceJet,8411
Indigo,2093
Indigo,966
Indigo,6128
Indigo,7257
GO FIRST,143
Indigo,552
Vistara,755
Indigo,248
Air India,657
Air India,837
Indigo,321
Indigo,549
AirAsia,1727
Indigo,643
Indigo,6344
Air India,491
Indigo,5012
Indigo,5372
Indigo,926
Indigo,5386
Indigo,2349
Indigo,7201
Air India,655
Indigo,186
SpiceJet,480
Indigo,782
Indigo,221
Indigo,7234
Indigo,2456
Indigo,6012
Air India,645
GO FIRST,237
Indigo,6202
Indigo,394
GO FIRST,704
Indigo,5001
Indigo,5041
Indigo,171
Indigo,2168
Indigo,6216
Indigo,404
Indigo,5316
SpiceJet,958
Indigo,6505
Air India,629
Indigo,176
SpiceJet,163
Indigo,255
Indigo,626
GO FIRST,191
Indigo,613
Indigo,2249
Indigo,2618
Air India,713
GO FIRST,801
GO FIRST,513
GO FIRST,292
Indigo,939
Indigo,309
GO FIRST,194
Air India,745
Indigo,2154
Indigo,6201
Indigo,574
AirAsia,1564
Indigo,7062
Indigo,7224
Indigo,128
Indigo,524
Indigo,5327
Indigo,2769
Indigo,6865
Indigo,199
Air India,604
Indigo,415
Indigo,2162
Indigo,5325
Indigo,113
Indigo,5323
Indigo,2148
Indigo,2047
Indigo,2615
Indigo,2169
Indigo,755
Indigo,944
Indigo,283
Indigo,6195
SpiceJet,8253
Indigo,5379
SpiceJet,242
Indigo,2174
Indigo,6139
